parameter,sparsity,top1,top5,loss
conv1.conv.weight,0.0,0.7229145,0,0
conv1.conv.weight,0.1,0.7229145,0,0
conv1.conv.weight,0.2,0.722506,0,0
conv1.conv.weight,0.30000000000000004,0.7235274,0,0
conv1.conv.weight,0.4,0.719714,0,0
conv1.conv.weight,0.5,0.7071842,0,0
conv1.conv.weight,0.6000000000000001,0.7086142,0,0
conv1.conv.weight,0.7000000000000001,0.5980933,0,0
conv1.conv.weight,0.8,0.1272046,0,0
conv1.conv.weight,0.9,0.0,0,0
conv2_dw.model.0.conv.conv.weight,0.0,0.7229145,0,0
conv2_dw.model.0.conv.conv.weight,0.1,0.7234593,0,0
conv2_dw.model.0.conv.conv.weight,0.2,0.7173306,0,0
conv2_dw.model.0.conv.conv.weight,0.30000000000000004,0.7191011,0,0
conv2_dw.model.0.conv.conv.weight,0.4,0.7154239,0,0
conv2_dw.model.0.conv.conv.weight,0.5,0.7072523,0,0
conv2_dw.model.0.conv.conv.weight,0.6000000000000001,0.6996255,0,0
conv2_dw.model.0.conv.conv.weight,0.7000000000000001,0.6883214,0,0
conv2_dw.model.0.conv.conv.weight,0.8,0.6995574,0,0
conv2_dw.model.0.conv.conv.weight,0.9,0.6678924,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.0,0.7229145,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.1,0.720395,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.2,0.7151515,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.30000000000000004,0.7160368,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.4,0.7218931,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.5,0.7094314,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.6000000000000001,0.0001362,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.7000000000000001,0.0001362,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.8,0.0001362,0,0
conv2_dw.model.0.conv_dw.conv.weight,0.9,6.81e-05,0,0
conv2_dw.model.0.project.conv.weight,0.0,0.7229145,0,0
conv2_dw.model.0.project.conv.weight,0.1,0.7233912,0,0
conv2_dw.model.0.project.conv.weight,0.2,0.7206673,0,0
conv2_dw.model.0.project.conv.weight,0.30000000000000004,0.7097038,0,0
conv2_dw.model.0.project.conv.weight,0.4,0.7165134,0,0
conv2_dw.model.0.project.conv.weight,0.5,0.7242765,0,0
conv2_dw.model.0.project.conv.weight,0.6000000000000001,0.7300647,0,0
conv2_dw.model.0.project.conv.weight,0.7000000000000001,0.6726592,0,0
conv2_dw.model.0.project.conv.weight,0.8,0.6802179,0,0
conv2_dw.model.0.project.conv.weight,0.9,0.6441267,0,0
conv2_dw.model.1.conv.conv.weight,0.0,0.7229145,0,0
conv2_dw.model.1.conv.conv.weight,0.1,0.7216888,0,0
conv2_dw.model.1.conv.conv.weight,0.2,0.7205312,0,0
conv2_dw.model.1.conv.conv.weight,0.30000000000000004,0.7067756,0,0
conv2_dw.model.1.conv.conv.weight,0.4,0.7575758,0,0
conv2_dw.model.1.conv.conv.weight,0.5,0.7159006,0,0
conv2_dw.model.1.conv.conv.weight,0.6000000000000001,0.7157644,0,0
conv2_dw.model.1.conv.conv.weight,0.7000000000000001,0.7160368,0,0
conv2_dw.model.1.conv.conv.weight,0.8,0.7050732,0,0
conv2_dw.model.1.conv.conv.weight,0.9,0.685189,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.0,0.7229145,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.1,0.7240722,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.2,0.7256384,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.30000000000000004,0.7201226,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.4,0.7090228,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.5,0.7122915,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.6000000000000001,0.7165815,0,0
conv2_dw.model.1.conv_dw.conv.weight,0.7000000000000001,0.6990807,0,0
