parameter,sparsity,top1,top5,loss
conv1.weight,0.0,0.8414634,0,0
conv1.weight,0.1,0.8414634,0,0
conv1.weight,0.2,0.8398764,0,0
conv1.weight,0.30000000000000004,0.8340294,0,0
conv1.weight,0.4,0.8286001,0,0
conv1.weight,0.5,0.8204978,0,0
conv1.weight,0.6000000000000001,0.8241731,0,0
conv1.weight,0.7000000000000001,0.8259272,0,0
conv1.weight,0.8,0.7996158,0,0
conv1.weight,0.9,0.7340461,0,0
layer1.0.conv1.weight,0.0,0.8414634,0,0
layer1.0.conv1.weight,0.1,0.8332776,0,0
layer1.0.conv1.weight,0.2,0.8371199,0,0
layer1.0.conv1.weight,0.30000000000000004,0.8249248,0,0
layer1.0.conv1.weight,0.4,0.7874206,0,0
layer1.0.conv1.weight,0.5,0.7575175,0,0
layer1.0.conv1.weight,0.6000000000000001,0.7531741,0,0
layer1.0.conv1.weight,0.7000000000000001,0.5750084,0,0
layer1.0.conv1.weight,0.8,0.3265119,0,0
layer1.0.conv1.weight,0.9,0.0703308,0,0
layer1.0.conv2.weight,0.0,0.8414634,0,0
layer1.0.conv2.weight,0.1,0.840294,0,0
layer1.0.conv2.weight,0.2,0.8331941,0,0
layer1.0.conv2.weight,0.30000000000000004,0.812145,0,0
layer1.0.conv2.weight,0.4,0.7792349,0,0
layer1.0.conv2.weight,0.5,0.7732208,0,0
layer1.0.conv2.weight,0.6000000000000001,0.7694621,0,0
layer1.0.conv2.weight,0.7000000000000001,0.6896091,0,0
layer1.0.conv2.weight,0.8,0.6469262,0,0
layer1.0.conv2.weight,0.9,0.314985,0,0
layer1.0.downsample.0.weight,0.0,0.8414634,0,0
layer1.0.downsample.0.weight,0.1,0.8415469,0,0
layer1.0.downsample.0.weight,0.2,0.8414634,0,0
layer1.0.downsample.0.weight,0.30000000000000004,0.8223354,0,0
layer1.0.downsample.0.weight,0.4,0.8283495,0,0
layer1.0.downsample.0.weight,0.5,0.8189943,0,0
layer1.0.downsample.0.weight,0.6000000000000001,0.776562,0,0
layer1.0.downsample.0.weight,0.7000000000000001,0.7982793,0,0
layer1.0.downsample.0.weight,0.8,0.75142,0,0
layer1.0.downsample.0.weight,0.9,0.5891246,0,0
layer1.1.conv1.weight,0.0,0.8414634,0,0
layer1.1.conv1.weight,0.1,0.8446375,0,0
layer1.1.conv1.weight,0.2,0.8199967,0,0
layer1.1.conv1.weight,0.30000000000000004,0.8127297,0,0
layer1.1.conv1.weight,0.4,0.8215837,0,0
layer1.1.conv1.weight,0.5,0.8029569,0,0
layer1.1.conv1.weight,0.6000000000000001,0.8169061,0,0
layer1.1.conv1.weight,0.7000000000000001,0.7920982,0,0
layer1.1.conv1.weight,0.8,0.7878383,0,0
layer1.1.conv1.weight,0.9,0.6771634,0,0
layer1.1.conv2.weight,0.0,0.8414634,0,0
layer1.1.conv2.weight,0.1,0.8421316,0,0
layer1.1.conv2.weight,0.2,0.8359506,0,0
layer1.1.conv2.weight,0.30000000000000004,0.83428,0,0
layer1.1.conv2.weight,0.4,0.8309389,0,0
layer1.1.conv2.weight,0.5,0.8277648,0,0
layer1.1.conv2.weight,0.6000000000000001,0.809305,0,0
layer1.1.conv2.weight,0.7000000000000001,0.7976946,0,0
layer1.1.conv2.weight,0.8,0.7576011,0,0
layer1.1.conv2.weight,0.9,0.7289509,0,0
layer1.2.conv1.weight,0.0,0.8414634,0,0
layer1.2.conv1.weight,0.1,0.8321083,0,0
layer1.2.conv1.weight,0.2,0.8221684,0,0
layer1.2.conv1.weight,0.30000000000000004,0.8005346,0,0
layer1.2.conv1.weight,0.4,0.8200802,0,0
layer1.2.conv1.weight,0.5,0.7975276,0,0
layer1.2.conv1.weight,0.6000000000000001,0.7917641,0,0
layer1.2.conv1.weight,0.7000000000000001,0.7789008,0,0
layer1.2.conv1.weight,0.8,0.730872,0,0
layer1.2.conv1.weight,0.9,0.6383228,0,0
layer1.2.conv2.weight,0.0,0.8414634,0,0
layer1.2.conv2.weight,0.1,0.8457234,0,0
layer1.2.conv2.weight,0.2,0.8425493,0,0
layer1.2.conv2.weight,0.30000000000000004,0.8155697,0,0
layer1.2.conv2.weight,0.4,0.7989475,0,0
layer1.2.conv2.weight,0.5,0.7799866,0,0
layer1.2.conv2.weight,0.6000000000000001,0.783996,0,0
layer1.2.conv2.weight,0.7000000000000001,0.7626128,0,0
layer1.2.conv2.weight,0.8,0.5912128,0,0
layer1.2.conv2.weight,0.9,0.3024557,0,0
layer2.0.conv1.weight,0.0,0.8414634,0,0
layer2.0.conv1.weight,0.1,0.8039592,0,0
layer2.0.conv1.weight,0.2,0.8097227,0,0
layer2.0.conv1.weight,0.30000000000000004,0.7846642,0,0
layer2.0.conv1.weight,0.4,0.7642833,0,0
layer2.0.conv1.weight,0.5,0.733712,0,0
layer2.0.conv1.weight,0.6000000000000001,0.7030571,0,0
layer2.0.conv1.weight,0.7000000000000001,0.4719345,0,0
layer2.0.conv1.weight,0.8,0.2211828,0,0
layer2.0.conv1.weight,0.9,0.00142,0,0
layer2.0.conv2.weight,0.0,0.8414634,0,0
layer2.0.conv2.weight,0.1,0.8417975,0,0
layer2.0.conv2.weight,0.2,0.7852489,0,0
layer2.0.conv2.weight,0.30000000000000004,0.7349649,0,0
layer2.0.conv2.weight,0.4,0.6663047,0,0
layer2.0.conv2.weight,0.5,0.3523221,0,0
layer2.0.conv2.weight,0.6000000000000001,0.0050117,0,0
layer2.0.conv2.weight,0.7000000000000001,0.0006682,0,0
layer2.0.conv2.weight,0.8,0.0002506,0,0
layer2.0.conv2.weight,0.9,0.0003341,0,0
layer2.0.downsample.0.weight,0.0,0.8414634,0,0
layer2.0.downsample.0.weight,0.1,0.8418811,0,0
layer2.0.downsample.0.weight,0.2,0.840127,0,0
layer2.0.downsample.0.weight,0.30000000000000004,0.8405446,0,0
layer2.0.downsample.0.weight,0.4,0.8396258,0,0
layer2.0.downsample.0.weight,0.5,0.8414634,0,0
layer2.0.downsample.0.weight,0.6000000000000001,0.8410458,0,0
layer2.0.downsample.0.weight,0.7000000000000001,0.835867,0,0
layer2.0.downsample.0.weight,0.8,0.8349482,0,0
layer2.0.downsample.0.weight,0.9,0.8247578,0,0
layer2.1.conv1.weight,0.0,0.8414634,0,0
layer2.1.conv1.weight,0.1,0.8359506,0,0
layer2.1.conv1.weight,0.2,0.809305,0,0
layer2.1.conv1.weight,0.30000000000000004,0.7842466,0,0
layer2.1.conv1.weight,0.4,0.7631975,0,0
layer2.1.conv1.weight,0.5,0.7372202,0,0
layer2.1.conv1.weight,0.6000000000000001,0.6859338,0,0
layer2.1.conv1.weight,0.7000000000000001,0.6267123,0,0
layer2.1.conv1.weight,0.8,0.5040929,0,0
layer2.1.conv1.weight,0.9,0.4057802,0,0
layer2.1.conv2.weight,0.0,0.8414634,0,0
layer2.1.conv2.weight,0.1,0.8301871,0,0
layer2.1.conv2.weight,0.2,0.8167391,0,0
layer2.1.conv2.weight,0.30000000000000004,0.7984464,0,0
layer2.1.conv2.weight,0.4,0.7722185,0,0
layer2.1.conv2.weight,0.5,0.7597728,0,0
layer2.1.conv2.weight,0.6000000000000001,0.6996325,0,0
layer2.1.conv2.weight,0.7000000000000001,0.6566154,0,0
layer2.1.conv2.weight,0.8,0.216004,0,0
layer2.1.conv2.weight,0.9,0.0005012,0,0
layer2.2.conv1.weight,0.0,0.8414634,0,0
layer2.2.conv1.weight,0.1,0.8369529,0,0
layer2.2.conv1.weight,0.2,0.8190778,0,0
layer2.2.conv1.weight,0.30000000000000004,0.8097227,0,0
layer2.2.conv1.weight,0.4,0.8085533,0,0
layer2.2.conv1.weight,0.5,0.8157367,0,0
layer2.2.conv1.weight,0.6000000000000001,0.8072168,0,0
layer2.2.conv1.weight,0.7000000000000001,0.7895089,0,0
layer2.2.conv1.weight,0.8,0.743986,0,0
layer2.2.conv1.weight,0.9,0.6180254,0,0
layer2.2.conv2.weight,0.0,0.8414634,0,0
